SigUFPrincipal;SigTipoGeracao;DscOrigemCombustivel;DscFonteCombustivel;NomFonteCombustivel;MdaGarantiaFisicaKw;DscTipoOutorga
RS;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;560.0;Registro
PR;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;16080.0;Concessão
RS;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
MG;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;3080.0;Autorização
MG;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;65000.0;Concessão
RJ;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;260.0;Registro
SP;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;115400.0;Concessão
RS;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SC;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
AM;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
MG;UTE;Fóssil;Gás Natural;Gás Natural;122000.0;Autorização
SP;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;66800.0;Concessão
SP;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;127500.0;Concessão
SC;UTE;Biomassa;Floresta;Licor Negro;0.0;Autorização
RS;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Concessão
RJ;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;103900.0;Concessão
SP;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;1645000.0;Concessão
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
MS;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;1920.0;Autorização
MG;UTE;Fóssil;Gás Natural;Calor de Processo - GN;0.0;Autorização
SP;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;800.0;Autorização
MG;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;197900.0;Concessão
GO;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;18210.0;Autorização
SP;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;600.0;Registro
TO;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;11910.0;Autorização
RS;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;704500.0;Concessão
AM;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Autorização
PR;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;7750800.0;Concessão
PE;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;911100.0;Concessão
BA;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;202100.0;Concessão
BA;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;0.0;Autorização
SP;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Concessão
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;2990.0;Registro
MG;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;948900.0;Concessão
GO;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;36870.0;Concessão
SP;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Concessão
MG;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;26600.0;Concessão
RS;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;440.0;Registro
SC;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;1810.0;Registro
RS;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;112600.0;Concessão
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;570.0;Registro
SP;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;324000.0;Concessão
PR;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
PA;UTE;Biomassa;Floresta;Licor Negro;0.0;Autorização
MT;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;74400.0;Concessão
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
MG;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;5200.0;Concessão
SP;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Autorização
SC;UTE;Fóssil;Carvão Mineral;Carvão Mineral;122900.0;Autorização
MT;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;26380.0;Autorização
MT;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;28560.0;Autorização
ES;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;2620.0;Concessão
MG;UTE;Fóssil;Gás Natural;Gás Natural;0.0;Autorização
PR;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;20390.0;Autorização
RR;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
SP;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;0.0;Autorização
SP;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;844900.0;Concessão
SP;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;42500.0;Concessão
SP;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
GO;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;1190.0;Registro
RR;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
TO;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;479900.0;Concessão
TO;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
RJ;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;16520.0;Concessão
SP;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;290.0;Registro
SP;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SC;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SP;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SP;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;14300.0;Concessão
SP;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;840.0;Autorização
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
RJ;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;8510.0;Concessão
SC;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;519800.0;Concessão
MG;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;1140.0;Autorização
RR;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
RR;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
RR;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
RR;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
RR;UTE;Fóssil;Petróleo;Óleo Combustível;0.0;Registro
RR;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
RR;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
RR;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
RR;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
RR;UTE;Fóssil;Petróleo;Óleo Combustível;0.0;Registro
RR;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
RR;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
MT;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;83500.0;Concessão
SP;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;300.0;Autorização
RR;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
RO;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
MT;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
MG;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;689700.0;Concessão
MG;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;2740.0;Concessão
MG;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;1840.0;Concessão
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
ES;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;128100.0;Concessão
RS;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;1260.0;Registro
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;390.0;Registro
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;30.0;Registro
MT;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SP;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;500.0;Autorização
PR;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;640.0;Registro
